Gene ID,TOOL,PRODUCT
protein_cluster_113,PFAM,head completion protein
protein_cluster_1130,PFAM,Protein of unknown function DUF2857
protein_cluster_1131,,hypothetical protein
protein_cluster_1132,PFAM,protein of unknown function DUF1233 excisionase
protein_cluster_1133,,hypothetical protein
protein_cluster_1134,TIGR,phage tail protein I
protein_cluster_1135,HAMAP,Survival protein SurE-like phosphatase/nucleotidase
protein_cluster_1136,,hypothetical protein
protein_cluster_1137,HAMAP,"1,4-alpha-glucan-branching enzyme"
protein_cluster_1138,,hypothetical protein
protein_cluster_1139,HAMAP,D-erythrose-4-phosphate dehydrogenase
protein_cluster_114,,hypothetical protein
protein_cluster_1140,,hypothetical protein
protein_cluster_1141,PFAM,terminase GpA
protein_cluster_1142,PFAM,lambda Kil
protein_cluster_1143,PFAM,PilM inner membrane family protein
protein_cluster_1144,,hypothetical protein
protein_cluster_1145,TIGR,P-type conjugative transfer protein VirB9
protein_cluster_1146,TIGR,3-oxoacyl-(acyl-carrier-protein) reductase
protein_cluster_1147,PFAM,HipA domain protein
protein_cluster_1148,PFAM,cytochrome C biogenesis protein
protein_cluster_1149,,hypothetical protein
protein_cluster_115,PFAM,DnaB domain protein helicase  domain protein
protein_cluster_1150,,hypothetical protein
protein_cluster_1151,PFAM,YceI family protein
protein_cluster_1152,HAMAP,Acetate kinase
protein_cluster_1153,,hypothetical protein
protein_cluster_1154,,hypothetical protein
protein_cluster_1155,,hypothetical protein
protein_cluster_1156,,hypothetical protein
protein_cluster_1157,,hypothetical protein
protein_cluster_1158,HAMAP,Trp operon repressor
protein_cluster_1159,PFAM,LysR substrate-binding protein
protein_cluster_116,,hypothetical protein
protein_cluster_1160,PFAM,protein of unknown function DUF796
protein_cluster_1161,,hypothetical protein
protein_cluster_1162,,hypothetical protein
protein_cluster_1163,,hypothetical protein
protein_cluster_1164,PFAM,peptidase M3A and M3B thimet/oligopeptidase F
protein_cluster_1165,,hypothetical protein
protein_cluster_1166,,hypothetical protein
protein_cluster_1167,PFAM,regulatory protein LuxR
protein_cluster_1168,PFAM,PipA family protein
protein_cluster_1169,PFAM,Choloylglycine hydrolase
protein_cluster_117,HAMAP,Sulfate adenylyltransferase subunit 1
protein_cluster_1170,PFAM,glycosyl transferase family 2
protein_cluster_1171,TIGR,"type VI secretion protein, VC_A0107 family"
protein_cluster_1172,PFAM,Fimbrial protein
protein_cluster_1173,,hypothetical protein
protein_cluster_1174,PFAM,glycerate kinase
protein_cluster_1175,,hypothetical protein
protein_cluster_1176,PFAM,protein of unknown function DUF1266
protein_cluster_1177,PFAM,DnaB domain protein helicase  domain protein
protein_cluster_1178,PFAM,ATP-binding region ATPase domain protein
protein_cluster_1179,,hypothetical protein
protein_cluster_118,,hypothetical protein
protein_cluster_1180,,hypothetical protein
protein_cluster_1181,HAMAP,Protein fdhD
protein_cluster_1182,PFAM,tail assembly chaperone gp38
protein_cluster_1183,PFAM,oxidoreductase domain protein
protein_cluster_1184,PFAM,protein of unknown function DUF610 YibQ
protein_cluster_1185,PFAM,LysR substrate-binding protein
protein_cluster_1186,,hypothetical protein
protein_cluster_1187,PFAM,lambda Kil
protein_cluster_1188,PFAM,glycosyl transferase group 1
protein_cluster_1189,PFAM,Abortive phage infection protein
protein_cluster_119,PFAM,major facilitator superfamily MFS_1
protein_cluster_1190,PFAM,TatD-related deoxyribonuclease
protein_cluster_1191,,hypothetical protein
protein_cluster_1192,PFAM,Extensin family protein
protein_cluster_1193,PFAM,N-6 DNA methylase
protein_cluster_1194,PFAM,protein of unknown function DUF526
protein_cluster_1195,,hypothetical protein
protein_cluster_1196,,hypothetical protein
protein_cluster_1197,PFAM,Fimbrial protein
protein_cluster_1198,,hypothetical protein
protein_cluster_1199,,hypothetical protein
protein_cluster_12,HAMAP,Polyphosphate kinase
protein_cluster_120,PFAM,Radical SAM domain protein
protein_cluster_1200,PFAM,amino acid permease-associated region
protein_cluster_1201,,hypothetical protein
protein_cluster_1202,,hypothetical protein
protein_cluster_1203,,hypothetical protein
protein_cluster_1204,PFAM,TonB-dependent receptor
protein_cluster_1205,PFAM,Alcohol dehydrogenase zinc-binding domain protein
protein_cluster_1206,,hypothetical protein
protein_cluster_1207,TIGR,"phosphate ABC transporter, ATPase subunit"
protein_cluster_1208,PFAM,protein of unknown function DUF1493
protein_cluster_1209,PFAM,conjugation TrbI family protein
protein_cluster_121,PFAM,glycerate kinase
protein_cluster_1210,TIGR,glutathione-disulfide reductase
protein_cluster_1211,,hypothetical protein
protein_cluster_1212,PFAM,Polysulfide reductase NrfD
protein_cluster_1213,TIGR,30S ribosomal protein S17
protein_cluster_1214,PFAM,Patatin
protein_cluster_1215,,hypothetical protein
protein_cluster_1216,PFAM,putative conserved protein UCP025560
protein_cluster_1217,TIGR,phosphohistidine phosphatase SixA
protein_cluster_1218,PFAM,Protein of unknown function DUF3330
protein_cluster_1219,PFAM,P22 tailspike protein head-binding protein
protein_cluster_122,PFAM,FAD linked oxidase domain protein
protein_cluster_1220,,hypothetical protein
protein_cluster_1221,,hypothetical protein
protein_cluster_1222,PFAM,Oligogalacturonate-specific porin
protein_cluster_1223,,hypothetical protein
protein_cluster_1224,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_1225,PFAM,17 kDa surface antigen
protein_cluster_1226,PFAM,tail assembly chaperone gp38
protein_cluster_1227,,hypothetical protein
protein_cluster_1228,TIGR,"phage portal protein, PBSX family"
protein_cluster_1229,TIGR,"dTDP-glucose 4,6-dehydratase"
protein_cluster_123,TIGR,phage tail protein I
protein_cluster_1230,HAMAP,Co-chaperone protein hscB
protein_cluster_1231,PFAM,beta-lactamase domain protein
protein_cluster_1232,,hypothetical protein
protein_cluster_1233,,hypothetical protein
protein_cluster_1234,HAMAP,Rhamnulokinase
protein_cluster_1235,PFAM,fimbrial biogenesis outer membrane usher protein
protein_cluster_1236,,hypothetical protein
protein_cluster_1237,PFAM,Ethyl tert-butyl ether degradation EthD
protein_cluster_1238,TIGR,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
protein_cluster_1239,,hypothetical protein
protein_cluster_124,TIGR,hexulose-6-phosphate isomerase
protein_cluster_1240,,hypothetical protein
protein_cluster_1241,,hypothetical protein
protein_cluster_1242,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_1243,TIGR,"DNA polymerase III, psi subunit"
protein_cluster_1244,HAMAP,UPF0059 membrane protein yebN
protein_cluster_1245,PFAM,secretion protein HlyD family protein
protein_cluster_1246,,hypothetical protein
protein_cluster_1247,HAMAP,Undecaprenyl pyrophosphate synthase
protein_cluster_1248,PFAM,head morphogenesis protein SPP1 gp7
protein_cluster_1249,,hypothetical protein
protein_cluster_125,,hypothetical protein
protein_cluster_1250,,hypothetical protein
protein_cluster_1251,HAMAP,Acyl carrier protein phosphodiesterase
protein_cluster_1252,PFAM,Prophage minor tail Z family protein
protein_cluster_1253,,hypothetical protein
protein_cluster_1254,,hypothetical protein
protein_cluster_1255,PFAM,sulfate transporter
protein_cluster_1256,PFAM,UspA domain-containing protein
protein_cluster_1257,,hypothetical protein
protein_cluster_1258,HAMAP,protein-disulfide oxidoreductase
protein_cluster_1259,PFAM,SbmABacA family protein
protein_cluster_126,,hypothetical protein
protein_cluster_1260,PFAM,"Protein of unknown function, DUF3672"
protein_cluster_1261,PFAM,protein of unknown function DUF87
protein_cluster_1262,PFAM,MltA-interacting MipA family protein
protein_cluster_1263,,hypothetical protein
protein_cluster_1264,PFAM,chemotaxis sensory transducer
protein_cluster_1265,,hypothetical protein
protein_cluster_1266,HAMAP,Shikimate dehydrogenase
protein_cluster_1267,PFAM,phosphatidate cytidylyltransferase
protein_cluster_1268,,hypothetical protein
protein_cluster_1269,PFAM,Pili assembly chaperone
protein_cluster_127,PFAM,holin family 2
protein_cluster_1270,HAMAP,HTH-type protein slmA
protein_cluster_1271,,hypothetical protein
protein_cluster_1272,,hypothetical protein
protein_cluster_1273,PFAM,phosphotransferase system PTS sorbose-specific IIC subunit
protein_cluster_1274,TIGR,gamma-glutamyltransferase
protein_cluster_1275,,hypothetical protein
protein_cluster_1276,PFAM,Protein of unknown function DUF3021
protein_cluster_1277,TIGR,penicillin-binding protein 1B
protein_cluster_1278,PFAM,aminotransferase class I and II
protein_cluster_1279,HAMAP,"Coproporphyrinogen-III oxidase, aerobic"
protein_cluster_128,TIGR,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
protein_cluster_1280,TIGR,galactarate dehydratase
protein_cluster_1281,TIGR,type III secretion low calcium response chaperone LcrH/SycD
protein_cluster_1282,PFAM,Citrate carrier protein
protein_cluster_1283,,hypothetical protein
protein_cluster_1284,,hypothetical protein
protein_cluster_1285,PFAM,Rhodanese-like protein
protein_cluster_1286,PFAM,response regulator receiver
protein_cluster_1287,PFAM,amino acid-binding ACT domain-containing protein
protein_cluster_1288,,hypothetical protein
protein_cluster_1289,,hypothetical protein
protein_cluster_129,PFAM,DNA packaging Nu1
protein_cluster_1290,PFAM,Cys/Met metabolism pyridoxal-phosphate-dependent protein
protein_cluster_1291,PFAM,PTS system sorbose subfamily IIB component
protein_cluster_1292,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_1293,PFAM,protein of unknown function DUF1018
protein_cluster_1294,PFAM,heat shock protein Hsp90
protein_cluster_1295,PFAM,CheY binding protein
protein_cluster_1296,,hypothetical protein
protein_cluster_1297,TIGR,flagellar protein FliS
protein_cluster_1298,HAMAP,ribosome maturation factor rimN
protein_cluster_1299,HAMAP,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
protein_cluster_13,PFAM,protein of unknown function DUF1434
protein_cluster_130,PFAM,Autotransporter beta- domain protein
protein_cluster_1300,PFAM,"Plasmid stability protein, StbB"
protein_cluster_1301,,hypothetical protein
protein_cluster_1302,,hypothetical protein
protein_cluster_1303,PFAM,major facilitator superfamily MFS_1
protein_cluster_1304,,hypothetical protein
protein_cluster_1305,TIGR,molybdenum cofactor biosynthesis protein C
protein_cluster_1306,PFAM,Cyclopropane-fatty-acyl-phospholipid synthase
protein_cluster_1307,PFAM,Conserved hypothetical protein CHP03578
protein_cluster_1308,,hypothetical protein
protein_cluster_1309,PFAM,protein of unknown function UPF0005
protein_cluster_131,PFAM,BolA family protein
protein_cluster_1310,PFAM,anti-RecBCD protein 2
protein_cluster_1311,,hypothetical protein
protein_cluster_1312,,hypothetical protein
protein_cluster_1313,PFAM,"4Fe-4S ferredoxin, iron-sulpur binding domain-containing protein"
protein_cluster_1314,,hypothetical protein
protein_cluster_1315,,hypothetical protein
protein_cluster_1316,PFAM,alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen
protein_cluster_1317,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_1318,PFAM,regulatory protein LacI
protein_cluster_1319,PFAM,regulator of RNA terminal phosphate cyclase
protein_cluster_132,PFAM,4'-phosphopantetheinyl transferase
protein_cluster_1320,,hypothetical protein
protein_cluster_1321,PFAM,protein of unknown function UPF0005
protein_cluster_1322,PFAM,P2 GpE family protein
protein_cluster_1323,HAMAP,Homoserine O-succinyltransferase
protein_cluster_1324,,hypothetical protein
protein_cluster_1325,TIGR,type-IV secretion system protein TraC
protein_cluster_1326,PFAM,Integrase catalytic region
protein_cluster_1327,,hypothetical protein
protein_cluster_1328,PFAM,dihydrofolate reductase region
protein_cluster_1329,,hypothetical protein
protein_cluster_133,,hypothetical protein
protein_cluster_1330,HAMAP,Acetyltransferase ypeA
protein_cluster_1331,PFAM,Protein of unknown function DUF3625
protein_cluster_1332,,hypothetical protein
protein_cluster_1333,HAMAP,Cytochrome c-552
protein_cluster_1334,,hypothetical protein
protein_cluster_1335,PFAM,P pili regulatory PapB protein
protein_cluster_1336,PFAM,protein of unknown function DUF202
protein_cluster_1337,,hypothetical protein
protein_cluster_1338,,hypothetical protein
protein_cluster_1339,,hypothetical protein
protein_cluster_134,HAMAP,50S ribosomal protein L9
protein_cluster_1340,,hypothetical protein
protein_cluster_1341,,hypothetical protein
protein_cluster_1342,,hypothetical protein
protein_cluster_1343,,hypothetical protein
protein_cluster_1344,,hypothetical protein
protein_cluster_1345,,hypothetical protein
protein_cluster_1346,TIGR,"phage major capsid protein, P2 family"
protein_cluster_1347,PFAM,protein of unknown function DUF551
protein_cluster_1348,PFAM,amino acid permease-associated region
protein_cluster_1349,PFAM,PrkA AAA domain protein
protein_cluster_135,,hypothetical protein
protein_cluster_1350,,hypothetical protein
protein_cluster_1351,,hypothetical protein
protein_cluster_1352,PFAM,protein of unknown function DUF535
protein_cluster_1353,PFAM,Protein of unknown function DUF2591
protein_cluster_1354,,hypothetical protein
protein_cluster_1355,HAMAP,GTP cyclohydrolase 1
protein_cluster_1356,PFAM,CoA-binding domain protein
protein_cluster_1357,PFAM,GCN5-related N-acetyltransferase
protein_cluster_1358,TIGR,phage shock protein B
protein_cluster_1359,HAMAP,Nitrate reductase
protein_cluster_136,PFAM,NinB family protein
protein_cluster_1360,HAMAP,Glyoxylate/hydroxypyruvate reductase B
protein_cluster_1361,PFAM,Conserved hypothetical protein CHP03580
protein_cluster_1362,PFAM,Ethanolamine utilization protein EutH
protein_cluster_1363,PFAM,Pili assembly chaperone
protein_cluster_1364,PFAM,transposase IS3/IS911 family protein
protein_cluster_1365,PFAM,UspA domain-containing protein
protein_cluster_1366,PFAM,tail assembly chaperone gp38
protein_cluster_1367,PFAM,protein of unknown function DUF81
protein_cluster_1368,TIGR,ribosomal protein S12
protein_cluster_1369,,hypothetical protein
protein_cluster_137,PFAM,Alcohol dehydrogenase GroES domain protein
protein_cluster_1370,HAMAP,Pyridoxine/pyridoxamine 5'-phosphate oxidase
protein_cluster_1371,PFAM,PTS system fructose subfamily IIA component
protein_cluster_1372,PFAM,chemotaxis sensory transducer
protein_cluster_1373,TIGR,riboflavin biosynthesis protein RibF
protein_cluster_1374,TIGR,sodium/pantothenate symporter
protein_cluster_1375,PFAM,peptidase S11 D-alanyl-D-alanine carboxypeptidase 1
protein_cluster_1376,PFAM,protein of unknown function DUF466
protein_cluster_1377,,hypothetical protein
protein_cluster_1378,PFAM,Protein of unknown function DUF2859
protein_cluster_1379,HAMAP,Peptidase E
protein_cluster_138,PFAM,NADP transhydrogenase beta subunit
protein_cluster_1380,TIGR,dihydrolipoamide dehydrogenase
protein_cluster_1381,PFAM,glycoside hydrolase family 31
protein_cluster_1382,HAMAP,Thymidylate kinase
protein_cluster_1383,PFAM,AAA ATPase central domain protein
protein_cluster_1384,PFAM,ABC transporter related protein
protein_cluster_1385,PFAM,ABC transporter related protein
protein_cluster_1386,PFAM,isochorismatase hydrolase
protein_cluster_1387,PFAM,regulatory protein LuxR
protein_cluster_1388,PFAM,Hok/gef cell toxic protein
protein_cluster_1389,,hypothetical protein
protein_cluster_139,PFAM,protein of unknown function DUF796
protein_cluster_1390,PFAM,aminotransferase class I and II
protein_cluster_1391,TIGR,universal protein YeaZ
protein_cluster_1392,PFAM,cyclase/dehydrase
protein_cluster_1393,,hypothetical protein
protein_cluster_1394,PFAM,Mandelate racemase/muconate lactonizing protein
protein_cluster_1395,HAMAP,"4-hydroxy-2-oxo-heptane-1,7-dioate aldolase"
protein_cluster_1396,TIGR,psp operon transcriptional activator
protein_cluster_1397,,hypothetical protein
protein_cluster_1398,,hypothetical protein
protein_cluster_1399,HAMAP,D-alanine--D-alanine ligase
protein_cluster_14,,hypothetical protein
protein_cluster_140,PFAM,DEAD/DEAH box helicase domain protein
protein_cluster_1400,PFAM,InvH outer membrane lipoprotein
protein_cluster_1401,PFAM,electron transfer flavoprotein-ubiquinone oxidoreductase
protein_cluster_1402,TIGR,cysteine desulfurase DndA
protein_cluster_1403,PFAM,head morphogenesis protein SPP1 gp7
protein_cluster_1404,TIGR,holo-ACP synthase CitX
protein_cluster_1405,PFAM,amino acid permease-associated region
protein_cluster_1406,PFAM,Curlin associated repeat-containing protein
protein_cluster_1407,,hypothetical protein
protein_cluster_1408,PFAM,helix-turn-helix domain protein
protein_cluster_1409,PFAM,homoserine dehydrogenase
protein_cluster_141,,hypothetical protein
protein_cluster_1410,,hypothetical protein
protein_cluster_1411,,hypothetical protein
protein_cluster_1412,PFAM,iron-containing alcohol dehydrogenase
protein_cluster_1413,TIGR,"GDP-mannose 4,6-dehydratase"
protein_cluster_1414,,hypothetical protein
protein_cluster_1415,,hypothetical protein
protein_cluster_1416,,hypothetical protein
protein_cluster_1417,,hypothetical protein
protein_cluster_1418,,hypothetical protein
protein_cluster_1419,,hypothetical protein
protein_cluster_142,TIGR,cellulose synthase catalytic subunit (UDP-forming)
protein_cluster_1420,,hypothetical protein
protein_cluster_1421,,hypothetical protein
protein_cluster_1422,PFAM,ABC transporter related protein
protein_cluster_1423,PFAM,Lysine exporter protein (LYSE/YGGA)
protein_cluster_1424,PFAM,NLP/P60 protein
protein_cluster_1425,HAMAP,Sulfate adenylyltransferase subunit 2
protein_cluster_1426,,hypothetical protein
protein_cluster_1427,,hypothetical protein
protein_cluster_1428,TIGR,phage virion morphogenesis protein
protein_cluster_1429,HAMAP,Ribosomal RNA small subunit methyltransferase B
protein_cluster_143,TIGR,Undecaprenyl-phosphate glucose phosphotransferase
protein_cluster_1430,,hypothetical protein
protein_cluster_1431,HAMAP, inorganic polyphosphate/ATP-NAD kinase
protein_cluster_1432,PFAM,short-chain dehydrogenase/reductase SDR
protein_cluster_1433,TIGR,phage N-6-adenine-methyltransferase
protein_cluster_1434,,hypothetical protein
protein_cluster_1435,TIGR,"type VI secretion protein, EvpB/VC_A0108 family"
protein_cluster_1436,PFAM,Asparaginase/glutaminase
protein_cluster_1437,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_1438,HAMAP,Phenylalanyl-tRNA synthetase alpha chain
protein_cluster_1439,,hypothetical protein
protein_cluster_144,PFAM,ABC transporter transmembrane region
protein_cluster_1440,,hypothetical protein
protein_cluster_1441,PFAM,CP79-related protein
protein_cluster_1442,TIGR,DNA helicase II
protein_cluster_1443,,hypothetical protein
protein_cluster_1444,PFAM,Haloacid dehalogenase domain protein hydrolase type 3
protein_cluster_1445,,hypothetical protein
protein_cluster_1446,PFAM,integrase family protein
protein_cluster_1447,TIGR,GTP-binding protein TypA
protein_cluster_1448,,hypothetical protein
protein_cluster_1449,HAMAP,Aminomethyltransferase
protein_cluster_145,,hypothetical protein
protein_cluster_1450,TIGR,malate synthase A
protein_cluster_1451,PFAM,Patatin
protein_cluster_1452,TIGR,"DNA gyrase, B subunit"
protein_cluster_1453,,hypothetical protein
protein_cluster_1454,,hypothetical protein
protein_cluster_1455,PFAM,DNA circulation family protein
protein_cluster_1456,,hypothetical protein
protein_cluster_1457,HAMAP,UPF0249 protein chbG
protein_cluster_1458,PFAM,Orn/Lys/Arg decarboxylase major region
protein_cluster_1459,HAMAP,Multidrug resistance protein mdtC
protein_cluster_146,PFAM,Amidohydrolase 3
protein_cluster_1460,,hypothetical protein
protein_cluster_1461,PFAM,protein of unknown function DUF1007
protein_cluster_1462,,hypothetical protein
protein_cluster_1463,PFAM,protein of unknown function DUF1480
protein_cluster_1464,HAMAP,LPS-assembly lipoprotein lptE
protein_cluster_1465,,hypothetical protein
protein_cluster_1466,HAMAP,Citrate lyase acyl carrier protein
protein_cluster_1467,PFAM,multi antimicrobial extrusion protein MatE
protein_cluster_1468,TIGR,phosphoenolpyruvate-protein phosphotransferase
protein_cluster_1469,TIGR,"ribonucleoside-diphosphate reductase, alpha subunit"
protein_cluster_147,HAMAP,Low affinity potassium transport system protein kup
protein_cluster_1470,PFAM,Prophage CP4-57 regulatory
protein_cluster_1471,PFAM,Type III secretion chaperone
protein_cluster_1472,,hypothetical protein
protein_cluster_1473,,hypothetical protein
protein_cluster_1474,,hypothetical protein
protein_cluster_1475,PFAM,Pili assembly chaperone
protein_cluster_1476,,hypothetical protein
protein_cluster_1477,PFAM,nitrogen regulatory protein P-II
protein_cluster_1478,,hypothetical protein
protein_cluster_1479,,hypothetical protein
protein_cluster_148,PFAM,ATP-binding region ATPase domain protein
protein_cluster_1480,TIGR,holo-ACP synthase CitX
protein_cluster_1481,,hypothetical protein
